rank,title,title_short,weekend_gross,gross
1,Joker,Joker,374216,5124763
2,The Addams Family,Addams Family,254192,254192
3,Maleficent: Mistress Of Evil,Maleficient,163910,511974
4,Terminator: Dark Fate,Terminator,153624,196706
5,Abominable,Abominable,74161,74161
6,Shaun The Sheep Movie: Farmageddon,Shaun The Sheep,66844,206742
7,Zombieland: Double Tap,Zombieland,50149,201983
8,Countdown,Countdown,38760,38760
9,Hocus Pocus,Hocus Pocus,36500,140812
10,Downton Abbey,Downton Abbey,35663,2848074
