day month year hour minute temperature   humidity     dewpoint   barometer    windspeed   gustspeed direction  rainlastmin    dailyrain  monthlyrain   yearlyrain  heatindex
 1  6 2019  0  0 12.0  95 11.2 1018.4 3.8 8.7 232 0.0 0.0 0.0 440.2 12.0
 1  6 2019  0  1 12.0  95 11.2 1018.4 3.2 4.3 232 0.0 0.0 0.0 440.2 12.0
 1  6 2019  0  2 12.0  95 11.2 1018.4 3.3 5.2 207 0.0 0.0 0.0 440.2 12.0
 1  6 2019  0  3 12.0  95 11.2 1018.4 3.6 9.6 219 0.0 0.0 0.0 440.2 12.0
 1  6 2019  0  4 12.0  95 11.2 1018.4 5.5 9.6 220 0.0 0.0 0.0 440.2 12.0
 1  6 2019  0  5 12.0  95 11.2 1018.4 2.7 4.3 220 0.0 0.0 0.0 440.2 12.0
 1  6 2019  0  6 12.0  95 11.3 1018.4 1.7 6.1 220 0.0 0.0 0.0 440.2 12.0
 1  6 2019  0  7 12.1  95 11.3 1018.4 3.4 6.1 212 0.0 0.0 0.0 440.2 12.1
 1  6 2019  0  8 12.1  95 11.3 1018.4 3.7 7.8 213 0.0 0.0 0.0 440.2 12.1
 1  6 2019  0  9 12.1  95 11.3 1018.4 3.8 7.0 214 0.0 0.0 0.0 440.2 12.1
 1  6 2019  0 10 12.1  95 11.3 1018.4 4.0 7.8 214 0.0 0.0 0.0 440.2 12.1
 1  6 2019  0 11 12.1  95 11.3 1018.3 3.9 4.3 214 0.0 0.0 0.0 440.2 12.1
 1  6 2019  0 12 12.1  95 11.3 1018.3 3.2 5.2 214 0.0 0.0 0.0 440.2 12.1
 1  6 2019  0 13 12.1  95 11.3 1018.3 3.0 3.5 214 0.0 0.0 0.0 440.2 12.1
 1  6 2019  0 14 12.1  95 11.3 1018.2 1.8 2.6 214 0.0 0.0 0.0 440.2 12.1
 1  6 2019  0 15 12.0  95 11.2 1018.2 2.6 5.2 213 0.0 0.0 0.0 440.2 12.0
 1  6 2019  0 16 12.0  95 11.2 1018.2 3.3 6.1 213 0.0 0.0 0.0 440.2 12.0
 1  6 2019  0 17 12.0  95 11.2 1018.2 3.4 6.1 213 0.0 0.0 0.0 440.2 12.0
 1  6 2019  0 18 11.9  95 11.2 1018.2 3.5 6.1 213 0.0 0.0 0.0 440.2 11.9
