Constituency Name,Candidate surname,Candidate First Name,Result,Count Number,Transfers,Votes,Total Votes,Candidate Id,Party
Galway West,Holohan,Tommy,,1,0,1017,1017,171,AAA
Galway West,Holohan,Tommy,,2,30,1017,1047,171,AAA
Galway West,Holohan,Tommy,Eliminated,3,24,1017,1071,171,AAA
Galway West,O'Neill,Ruairí,Eliminated,1,0,152,152,176,Direct Democracy Ireland 
Galway West,O'Cuív,Éamon,,1,0,9539,9539,165,Fianna Fail
Galway West,O'Cuív,Éamon,,2,35,9539,9574,165,Fianna Fail
Galway West,O'Cuív,Éamon,,3,105,9539,9679,165,Fianna Fail
Galway West,O'Cuív,Éamon,,4,22,9539,9701,165,Fianna Fail
Galway West,O'Cuív,Éamon,,5,62,9539,9763,165,Fianna Fail
Galway West,O'Cuív,Éamon,,6,259,9539,10022,165,Fianna Fail
Galway West,O'Cuív,Éamon,,7,57,9539,10079,165,Fianna Fail
Galway West,O'Cuív,Éamon,,8,96,9539,10175,165,Fianna Fail
Galway West,O'Cuív,Éamon,Elected,9,928,9539,11103,165,Fianna Fail
Galway West,Hoade,Mary,,1,0,2205,2205,170,Fianna Fail
Galway West,Hoade,Mary,,2,8,2205,2213,170,Fianna Fail
Galway West,Hoade,Mary,,3,35,2205,2248,170,Fianna Fail
Galway West,Hoade,Mary,,4,6,2205,2254,170,Fianna Fail
Galway West,Hoade,Mary,,5,295,2205,2549,170,Fianna Fail
Galway West,Hoade,Mary,,6,87,2205,2636,170,Fianna Fail
Galway West,Hoade,Mary,,7,8,2205,2644,170,Fianna Fail
Galway West,Hoade,Mary,Eliminated,8,29,2205,2673,170,Fianna Fail
Galway West,Connolly,John,,1,0,3885,3885,163,Fianna Fail
Galway West,Connolly,John,,2,16,3885,3901,163,Fianna Fail
Galway West,Connolly,John,,3,50,3885,3951,163,Fianna Fail
Galway West,Connolly,John,,4,22,3885,3973,163,Fianna Fail
Galway West,Connolly,John,,5,46,3885,4019,163,Fianna Fail
Galway West,Connolly,John,,6,141,3885,4160,163,Fianna Fail
Galway West,Connolly,John,,7,43,3885,4203,163,Fianna Fail
Galway West,Connolly,John,,8,148,3885,4351,163,Fianna Fail
Galway West,Connolly,John,,9,522,3885,4873,163,Fianna Fail
Galway West,Connolly,John,,10,186,3885,5059,163,Fianna Fail
Galway West,Connolly,John,,11,245,3885,5304,163,Fianna Fail
Galway West,Connolly,John,Eliminated,12,310,3885,5614,163,Fianna Fail
Galway West,O Mahony,John,,1,0,4734,4734,175,Fine  Gael
Galway West,O Mahony,John,,2,10,4734,4744,175,Fine  Gael
Galway West,O Mahony,John,,3,44,4734,4788,175,Fine  Gael
Galway West,O Mahony,John,,4,7,4734,4795,175,Fine  Gael
Galway West,O Mahony,John,,5,64,4734,4859,175,Fine  Gael
Galway West,O Mahony,John,,6,56,4734,4915,175,Fine  Gael
Galway West,O Mahony,John,,7,50,4734,4965,175,Fine  Gael
Galway West,O Mahony,John,,8,31,4734,4996,175,Fine  Gael
Galway West,O Mahony,John,,9,226,4734,5222,175,Fine  Gael
Galway West,O Mahony,John,,10,329,4734,5551,175,Fine  Gael
Galway West,O Mahony,John,,11,40,4734,5591,175,Fine  Gael
Galway West,O Mahony,John,,12,261,4734,5852,175,Fine  Gael
Galway West,O Mahony,John,Eliminated,13,270,4734,6122,175,Fine  Gael
Galway West,Naughton,Hildegarde,,1,0,4567,4567,173,Fine  Gael
Galway West,Naughton,Hildegarde,,2,15,4567,4582,173,Fine  Gael
Galway West,Naughton,Hildegarde,,3,94,4567,4676,173,Fine  Gael
Galway West,Naughton,Hildegarde,,4,15,4567,4691,173,Fine  Gael
Galway West,Naughton,Hildegarde,,5,68,4567,4759,173,Fine  Gael
Galway West,Naughton,Hildegarde,,6,205,4567,4964,173,Fine  Gael
Galway West,Naughton,Hildegarde,,7,133,4567,5097,173,Fine  Gael
Galway West,Naughton,Hildegarde,,8,78,4567,5175,173,Fine  Gael
Galway West,Naughton,Hildegarde,,9,123,4567,5298,173,Fine  Gael
Galway West,Naughton,Hildegarde,,10,785,4567,6083,173,Fine  Gael
Galway West,Naughton,Hildegarde,,11,11,4567,6094,173,Fine  Gael
Galway West,Naughton,Hildegarde,,12,532,4567,6626,173,Fine  Gael
Galway West,Naughton,Hildegarde,,13,398,4567,7024,173,Fine  Gael
Galway West,Naughton,Hildegarde,Elected,14,2105,4567,9129,173,Fine  Gael
Galway West,Kyne,Sean,,1,0,6136,6136,172,Fine  Gael
Galway West,Kyne,Sean,,2,12,6136,6148,172,Fine  Gael
Galway West,Kyne,Sean,,3,84,6136,6232,172,Fine  Gael
Galway West,Kyne,Sean,,4,13,6136,6245,172,Fine  Gael
Galway West,Kyne,Sean,,5,47,6136,6292,172,Fine  Gael
Galway West,Kyne,Sean,,6,63,6136,6355,172,Fine  Gael
Galway West,Kyne,Sean,,7,89,6136,6444,172,Fine  Gael
Galway West,Kyne,Sean,,8,62,6136,6506,172,Fine  Gael
Galway West,Kyne,Sean,,9,81,6136,6587,172,Fine  Gael
Galway West,Kyne,Sean,,10,614,6136,7201,172,Fine  Gael
Galway West,Kyne,Sean,,11,8,6136,7209,172,Fine  Gael
Galway West,Kyne,Sean,,12,447,6136,7656,172,Fine  Gael
Galway West,Kyne,Sean,,13,515,6136,8171,172,Fine  Gael
Galway West,Kyne,Sean,Elected,14,2419,6136,10590,172,Fine  Gael
Galway West,Sheridan,Séamus,,1,0,1588,1588,179,Green Party
Galway West,Sheridan,Séamus,,2,29,1588,1617,179,Green Party
Galway West,Sheridan,Séamus,,3,50,1588,1667,179,Green Party
Galway West,Sheridan,Séamus,,4,88,1588,1755,179,Green Party
Galway West,Sheridan,Séamus,,5,24,1588,1779,179,Green Party
Galway West,Sheridan,Séamus,Eliminated,6,34,1588,1813,179,Green Party
Galway West,Roddy,Tommy,Eliminated,1,0,251,251,178,Ind
Galway West,Healy Eames,Dr. Fidelma,,1,0,1394,1394,169,Ind
Galway West,Healy Eames,Dr. Fidelma,,2,51,1394,1445,169,Ind
Galway West,Healy Eames,Dr. Fidelma,,3,149,1394,1594,169,Ind
Galway West,Healy Eames,Dr. Fidelma,,4,26,1394,1620,169,Ind
Galway West,Healy Eames,Dr. Fidelma,Eliminated,5,37,1394,1657,169,Ind
Galway West,Grealish,Noel,,1,0,7187,7187,168,Ind
Galway West,Grealish,Noel,,2,21,7187,7208,168,Ind
Galway West,Grealish,Noel,,3,100,7187,7308,168,Ind
Galway West,Grealish,Noel,,4,51,7187,7359,168,Ind
Galway West,Grealish,Noel,,5,163,7187,7522,168,Ind
Galway West,Grealish,Noel,,6,423,7187,7945,168,Ind
Galway West,Grealish,Noel,,7,75,7187,8020,168,Ind
Galway West,Grealish,Noel,,8,441,7187,8461,168,Ind
Galway West,Grealish,Noel,,9,369,7187,8830,168,Ind
Galway West,Grealish,Noel,,10,306,7187,9136,168,Ind
Galway West,Grealish,Noel,,11,50,7187,9186,168,Ind
Galway West,Grealish,Noel,,12,525,7187,9711,168,Ind
Galway West,Grealish,Noel,Elected,13,1362,7187,11073,168,Ind
Galway West,Feeney,Patrick,Eliminated,1,0,22,22,167,Ind
Galway West,Cubbard,Mike,,1,0,2122,2122,164,Ind
Galway West,Cubbard,Mike,,2,24,2122,2146,164,Ind
Galway West,Cubbard,Mike,,3,20,2122,2166,164,Ind
Galway West,Cubbard,Mike,,4,143,2122,2309,164,Ind
Galway West,Cubbard,Mike,,5,81,2122,2390,164,Ind
Galway West,Cubbard,Mike,,6,46,2122,2436,164,Ind
Galway West,Cubbard,Mike,Eliminated,7,97,2122,2533,164,Ind
Galway West,Connolly,Catherine Martina Ann,,1,0,4877,4877,162,Ind
Galway West,Connolly,Catherine Martina Ann,,2,32,4877,4909,162,Ind
Galway West,Connolly,Catherine Martina Ann,,3,73,4877,4982,162,Ind
Galway West,Connolly,Catherine Martina Ann,,4,196,4877,5178,162,Ind
Galway West,Connolly,Catherine Martina Ann,,5,147,4877,5325,162,Ind
Galway West,Connolly,Catherine Martina Ann,,6,125,4877,5450,162,Ind
Galway West,Connolly,Catherine Martina Ann,,7,368,4877,5818,162,Ind
Galway West,Connolly,Catherine Martina Ann,,8,512,4877,6330,162,Ind
Galway West,Connolly,Catherine Martina Ann,,9,131,4877,6461,162,Ind
Galway West,Connolly,Catherine Martina Ann,,10,662,4877,7123,162,Ind
Galway West,Connolly,Catherine Martina Ann,,11,15,4877,7138,162,Ind
Galway West,Connolly,Catherine Martina Ann,,12,1739,4877,8877,162,Ind
Galway West,Connolly,Catherine Martina Ann,,13,965,4877,9842,162,Ind
Galway West,Connolly,Catherine Martina Ann,Elected,14,397,4877,10239,162,Ind
Galway West,Nolan,Derek,,1,0,3220,3220,174,Labour Party
Galway West,Nolan,Derek,,2,13,3220,3233,174,Labour Party
Galway West,Nolan,Derek,,3,28,3220,3261,174,Labour Party
Galway West,Nolan,Derek,,4,39,3220,3300,174,Labour Party
Galway West,Nolan,Derek,,5,32,3220,3332,174,Labour Party
Galway West,Nolan,Derek,,6,48,3220,3380,174,Labour Party
Galway West,Nolan,Derek,,7,244,3220,3624,174,Labour Party
Galway West,Nolan,Derek,,8,113,3220,3737,174,Labour Party
Galway West,Nolan,Derek,Eliminated,9,50,3220,3787,174,Labour Party
Galway West,Daveron,Nicola,,1,0,994,994,166,Renua
Galway West,Daveron,Nicola,Eliminated,2,31,994,1025,166,Renua
Galway West,Charity,James,,1,0,1171,1171,160,Renua
Galway West,Charity,James,,2,17,1171,1188,160,Renua
Galway West,Charity,James,,3,39,1171,1227,160,Renua
Galway West,Charity,James,Eliminated,4,40,1171,1267,160,Renua
Galway West,O' Tuathail,Niall,,1,0,3455,3455,177,Social Democratic Party
Galway West,O' Tuathail,Niall,,2,33,3455,3488,177,Social Democratic Party
Galway West,O' Tuathail,Niall,,3,78,3455,3566,177,Social Democratic Party
Galway West,O' Tuathail,Niall,,4,168,3455,3734,177,Social Democratic Party
Galway West,O' Tuathail,Niall,,5,69,3455,3803,177,Social Democratic Party
Galway West,O' Tuathail,Niall,,6,47,3455,3850,177,Social Democratic Party
Galway West,O' Tuathail,Niall,,7,494,3455,4344,177,Social Democratic Party
Galway West,O' Tuathail,Niall,,8,330,3455,4674,177,Social Democratic Party
Galway West,O' Tuathail,Niall,,9,51,3455,4725,177,Social Democratic Party
Galway West,O' Tuathail,Niall,,10,544,3455,5269,177,Social Democratic Party
Galway West,O' Tuathail,Niall,Eliminated,11,9,3455,5278,177,Social Democratic Party
Galway West,Clochartaigh,Trevor ,,1,0,5755,5755,161,Sinn Fein
Galway West,Clochartaigh,Trevor ,,2,33,5755,5788,161,Sinn Fein
Galway West,Clochartaigh,Trevor ,,3,27,5755,5815,161,Sinn Fein
Galway West,Clochartaigh,Trevor ,,4,202,5755,6017,161,Sinn Fein
Galway West,Clochartaigh,Trevor ,,5,91,5755,6108,161,Sinn Fein
Galway West,Clochartaigh,Trevor ,,6,54,5755,6162,161,Sinn Fein
Galway West,Clochartaigh,Trevor ,,7,99,5755,6261,161,Sinn Fein
Galway West,Clochartaigh,Trevor ,,8,400,5755,6661,161,Sinn Fein
Galway West,Clochartaigh,Trevor ,,9,60,5755,6721,161,Sinn Fein
Galway West,Clochartaigh,Trevor ,,10,112,5755,6833,161,Sinn Fein
Galway West,Clochartaigh,Trevor ,,11,13,5755,6846,161,Sinn Fein
Galway West,Clochartaigh,Trevor ,,12,622,5755,7468,161,Sinn Fein
Galway West,Clochartaigh,Trevor ,,13,443,5755,7911,161,Sinn Fein
Galway West,Clochartaigh,Trevor ,,14,166,5755,8077,161,Sinn Fein
