var_a,var_b,country
10.1,9.14,ireland
7.9,8.14,ireland
13,8.74,ireland
9,8.77,ireland
11,9.26,ireland
14,8.1,ireland
6,6.13,ireland
4,3.1,ireland
12,9.13,ireland
7,7.26,ireland
5,4.74,ireland
10,7.46,scotland
8,6.77,scotland
13,12.74,scotland
9,7.11,scotland
11,7.81,scotland
14,8.84,scotland
6,6.08,scotland
4,5.39,scotland
12.1,8.15,scotland
6.9,6.42,scotland
5,5.73,scotland
10,7.46,england
8,6.77,england
13,12.74,england
9,7.11,england
11,7.81,england
14,8.84,england
6,6.08,england
4,5.39,england
12,8.15,england
7,6.42,england
5,5.73,england
8,6.58,wales
8,5.76,wales
8,7.71,wales
8,8.84,wales
8,8.47,wales
8,7.04,wales
8,5.25,wales
19,12.5,wales
8,5.56,wales
8,7.91,wales
8,6.89,wales
