rank,council,score-out-of-30,short
1,Galway City Council,21,Galway City
2,Fingal County Council,19,Fingal 
2,South Dublin County Council,19,South Dublin  
4,Dublin City Council,18,Dublin City 
4,Monaghan County Council,18,Monaghan  
6,Dún Laoghaire–Rathdown County Council,17,Dún Laoghaire–Rathdown  
6,Laois County Council,17,Laois  
6,Meath County Council,17,Meath  
9,Kerry County Council,16,Kerry  
9,Kildare County Council,16,Kildare  
11,Clare County Council,15,Clare  
11,Cork City Council,15,Cork City 
11,Limerick City and County Council,15,Limerick City/County 
11,Roscommon County Council,15,Roscommon  
11,Tipperary County Council,15,Tipperary  
16,Leitrim County Council,14,Leitrim  
17,Donegal County Council,13,Donegal  
17,Longford County Council,13,Longford  
19,Cavan County Council,12,Cavan  
19,Louth County Council,12,Louth  
19,Mayo County Council,12,Mayo  
19,Sligo County Council,12,Sligo  
19,Wicklow County Council,12,Wicklow  
24,Cork County Council,11,Cork  
24,Kilkenny County Council,11,Kilkenny  
24,Westmeath County Council,11,Westmeath  
27,Carlow County Council,10,Carlow  
28,Offaly County Council,9,Offaly  
28,Waterford City and County Council,9,Waterford City/County 
30,Wexford County Council,7,Wexford  
31,Galway County Council,5,Galway  
